Size	Ponder	Price	P/B
259		1		831		831.0		
143		1		409		409.0		
574		4		752		188.0		
795		5		848		169.6		
866		1		167		167.0		
635		5		765		153.0		
747		2		261		130.5		
701		12		976		81.33333		
691		14		962		68.71429		
215		10		611		61.1		
313		3		146		48.66667		
478		14		602		43.0		
872		15		606		40.4		
102		26		953		36.65385		
672		17		563		33.11765		
748		26		853		32.80769		
3		30		892		29.73333		
255		30		833		27.76667		
194		27		687		25.44444		
970		33		817		24.75758		
634		25		612		24.48		
657		42		1000		23.80952		
598		45		865		19.22222		
219		50		954		19.08		
228		47		882		18.76596		
61		53		966		18.22642		
931		34		608		17.88235		
933		39		680		17.4359		
138		51		883		17.31373		
487		30		488		16.26667		
452		50		811		16.22		
641		42		674		16.04762		
661		32		479		14.96875		
176		47		673		14.31915		
816		48		687		14.3125		
155		47		672		14.29787		
291		51		652		12.78431		
436		49		619		12.63265		
82		35		435		12.42857		
814		29		355		12.24138		
874		36		440		12.22222		
770		75		896		11.94667		
601		48		572		11.91667		
968		55		632		11.49091		
858		69		776		11.24638		
19		22		247		11.22727		
1000		48		506		10.54167		
809		57		586		10.2807		
677		89		893		10.03371		
826		90		896		9.95556		
891		97		952		9.81443		
711		51		498		9.76471		
343		70		622		8.88571		
954		93		808		8.68817		
390		115		995		8.65217		
168		100		833		8.33		
105		118		941		7.97458		
904		121		963		7.95868		
446		99		785		7.92929		
339		80		630		7.875		
253		97		763		7.86598		
470		76		577		7.59211		
30		75		566		7.54667		
361		50		372		7.44		
526		103		745		7.23301		
920		79		554		7.01266		
421		70		485		6.92857		
136		76		526		6.92105		
740		128		874		6.82812		
293		122		822		6.7377		
553		72		484		6.72222		
782		82		549		6.69512		
644		106		706		6.66038		
29		59		392		6.64407		
32		109		711		6.52294		
254		11		71		6.45455		
23		91		576		6.32967		
973		152		943		6.20395		
846		134		813		6.06716		
294		154		930		6.03896		
283		145		861		5.93793		
696		107		635		5.93458		
540		150		883		5.88667		
453		175		986		5.63429		
579		8		45		5.625		
447		60		332		5.53333		
957		87		475		5.45977		
593		80		436		5.45		
717		109		593		5.44037		
448		138		700		5.07246		
938		198		970		4.89899		
690		195		951		4.87692		
837		138		670		4.85507		
731		159		771		4.84906		
778		195		942		4.83077		
28		157		753		4.79618		
556		157		752		4.78981		
669		136		646		4.75		
354		181		855		4.72376		
665		183		853		4.6612		
92		147		683		4.64626		
239		207		959		4.63285		
988		130		599		4.60769		
999		164		740		4.5122		
493		161		720		4.47205		
54		137		606		4.42336		
897		154		679		4.40909		
398		195		851		4.3641		
830		191		833		4.36126		
841		216		941		4.35648		
170		212		917		4.32547		
44		172		732		4.25581		
408		232		984		4.24138		
246		198		831		4.19697		
680		187		780		4.17112		
377		229		944		4.12227		
588		183		734		4.01093		
943		106		424		4.0		
507		235		923		3.92766		
120		140		548		3.91429		
443		237		927		3.91139		
317		214		835		3.90187		
299		216		838		3.87963		
229		241		933		3.87137		
905		168		639		3.80357		
316		247		936		3.78947		
898		237		896		3.78059		
590		148		558		3.77027		
280		219		825		3.76712		
834		89		328		3.68539		
472		67		245		3.65672		
499		149		544		3.65101		
548		218		793		3.63761		
650		120		436		3.63333		
494		205		744		3.62927		
185		183		664		3.62842		
352		70		251		3.58571		
438		249		889		3.57028		
812		181		641		3.54144		
80		168		593		3.52976		
130		234		821		3.50855		
137		284		995		3.50352		
758		162		566		3.49383		
113		224		781		3.48661		
727		184		634		3.44565		
886		266		915		3.43985		
620		277		952		3.43682		
90		191		653		3.41885		
924		240		819		3.4125		
681		212		722		3.40566		
76		207		703		3.39614		
327		94		319		3.39362		
198		60		202		3.36667		
819		127		424		3.33858		
66		159		525		3.30189		
288		267		874		3.27341		
175		254		822		3.23622		
77		308		987		3.20455		
2		147		468		3.18367		
986		78		246		3.15385		
124		191		598		3.13089		
172		189		591		3.12698		
56		158		493		3.12025		
797		92		282		3.06522		
38		162		493		3.04321		
106		288		876		3.04167		
362		219		655		2.99087		
464		236		704		2.98305		
257		272		805		2.95956		
182		316		934		2.9557		
441		322		949		2.9472		
37		224		660		2.94643		
279		61		179		2.93443		
406		69		202		2.92754		
191		337		979		2.90504		
757		196		566		2.88776		
702		336		969		2.88393		
355		141		406		2.87943		
785		192		546		2.84375		
47		329		933		2.83587		
937		152		429		2.82237		
484		313		878		2.80511		
730		347		970		2.79539		
900		101		282		2.79208		
857		266		738		2.77444		
799		149		406		2.72483		
161		322		877		2.7236		
22		352		958		2.72159		
144		140		381		2.72143		
642		317		861		2.71609		
505		351		941		2.68091		
533		199		533		2.67839		
537		194		513		2.64433		
353		46		120		2.6087		
524		209		545		2.60766		
718		356		920		2.58427		
935		161		415		2.57764		
853		296		758		2.56081		
240		387		982		2.53747		
838		346		875		2.5289		
907		375		946		2.52267		
231		277		694		2.50542		
412		235		587		2.49787		
256		205		510		2.4878		
958		307		761		2.47883		
971		151		371		2.45695		
15		370		907		2.45135		
142		240		587		2.44583		
439		363		885		2.43802		
204		188		458		2.43617		
709		404		982		2.43069		
523		300		725		2.41667		
624		359		862		2.40111		
162		402		955		2.37562		
347		331		777		2.34743		
118		202		472		2.33663		
756		331		773		2.33535		
911		299		697		2.3311		
104		410		955		2.32927		
13		319		739		2.31661		
338		237		549		2.31646		
902		212		491		2.31604		
363		202		467		2.31188		
242		281		648		2.30605		
586		102		234		2.29412		
331		204		468		2.29412		
978		393		892		2.26972		
43		325		734		2.25846		
207		407		917		2.25307		
428		251		565		2.251		
262		381		856		2.24672		
365		231		510		2.20779		
737		233		513		2.20172		
928		351		770		2.19373		
573		381		833		2.18635		
744		431		931		2.16009		
55		422		907		2.14929		
612		209		447		2.13876		
576		321		683		2.12773		
654		432		917		2.12269		
227		310		654		2.10968		
467		208		436		2.09615		
367		324		676		2.08642		
10		313		649		2.07348		
883		405		839		2.0716		
963		474		980		2.06751		
655		262		539		2.05725		
610		298		612		2.05369		
268		322		656		2.03727		
372		431		875		2.03016		
6		413		831		2.01211		
824		271		543		2.00369		
350		397		791		1.99244		
285		456		905		1.98465		
621		295		582		1.97288		
371		471		921		1.95541		
201		323		631		1.95356		
915		439		857		1.95216		
974		482		936		1.94191		
180		278		539		1.93885		
274		237		457		1.92827		
342		414		793		1.91546		
608		446		842		1.88789		
205		523		984		1.88145		
301		373		700		1.87668		
836		471		883		1.87473		
977		186		348		1.87097		
337		385		720		1.87013		
101		530		990		1.86792		
258		540		1000		1.85185		
123		434		800		1.84332		
932		112		205		1.83036		
502		506		926		1.83004		
944		460		841		1.82826		
300		489		881		1.80164		
458		72		128		1.77778		
561		278		492		1.76978		
923		465		821		1.76559		
606		376		660		1.75532		
366		460		806		1.75217		
569		281		489		1.74021		
794		409		706		1.72616		
773		302		520		1.72185		
68		510		876		1.71765		
663		125		214		1.712		
993		306		521		1.70261		
750		451		764		1.69401		
694		339		571		1.68437		
17		428		714		1.66822		
381		516		858		1.66279		
275		534		885		1.6573		
